quantile,specification,poly_degree,beta_hat,se,ci_low,ci_high,ci_length,covers_zero,reject_5pct,p_value,poly_p_value,first_stage_F,n_sector_year,n_clusters,backend,replication,mode,theta,true_effect,error_dist
20,uncorrected,0,0.037034625927076584,0.01990539548253694,-0.00197994921869582,0.07604920107284899,0.07802915029154481,True,False,0.06281029073316202,,13.483291184553462,18,6,manual,1,independent,0.4,null,normal
30,uncorrected,0,0.010723689524923719,0.03304576905888426,-0.054046017830489436,0.07549339688033688,0.1295394147108263,True,False,0.7455517921249311,,13.483291184553462,18,6,manual,1,independent,0.4,null,normal
40,uncorrected,0,0.010169228354859207,0.021876712409811472,-0.03270912796837128,0.05304758467808969,0.08575671264646097,True,False,0.6420441627457503,,13.483291184553462,18,6,manual,1,independent,0.4,null,normal
50,uncorrected,0,-0.0061592018359123354,0.017213283519776437,-0.03989723753467415,0.027578833862849476,0.06747607139752362,True,False,0.720480425579497,,13.483291184553462,18,6,manual,1,independent,0.4,null,normal
60,uncorrected,0,0.0022586961839145443,0.018693014926763885,-0.03437961307254267,0.038897005440371765,0.07327661851291443,True,False,0.9038248744715109,,13.483291184553462,18,6,manual,1,independent,0.4,null,normal
70,uncorrected,0,0.0024042220395116554,0.018616116917797854,-0.03408336711937214,0.03889181119839545,0.07297517831776759,True,False,0.8972410612443311,,13.483291184553462,18,6,manual,1,independent,0.4,null,normal
80,uncorrected,0,0.017876446506863902,0.02585060085988261,-0.03279073117850601,0.06854362419223381,0.10133435537073981,True,False,0.4892330085637093,,13.483291184553462,18,6,manual,1,independent,0.4,null,normal
90,uncorrected,0,0.016757472244428417,0.05766699958458481,-0.0962698469413578,0.12978479143021465,0.22605463837157247,True,False,0.7713646592169776,,13.483291184553462,18,6,manual,1,independent,0.4,null,normal
10,corrected,3,-0.005819644778349745,0.04030796133994877,-0.08482324900464933,0.07318395944794984,0.15800720845259916,True,False,0.885200774947466,1.2156355780112982e-05,4.237453753351431,18,6,manual,1,independent,0.4,null,normal
20,corrected,3,0.01686773322398683,0.052835524927774616,-0.08668989563445142,0.12042536208242507,0.2071152577168765,True,False,0.7495370608954655,0.00013254055582145874,4.237453753351431,18,6,manual,1,independent,0.4,null,normal
30,corrected,3,-0.05998999505984638,0.024751264919065766,-0.10850247430121529,-0.011477515818477481,0.09702495848273782,False,True,0.015362685619604965,5.5299604598935126e-05,4.237453753351431,18,6,manual,1,independent,0.4,null,normal
40,corrected,3,-0.04362465991362638,0.020923337796988666,-0.08463440199572417,-0.0026149178315285973,0.08201948416419558,False,True,0.037071467112337775,3.4416913763379853e-15,4.237453753351431,18,6,manual,1,independent,0.4,null,normal
50,corrected,3,-0.06083106164496708,0.038507897940959185,-0.13630654160924707,0.014644418319312923,0.15095095992856,True,False,0.11417478081304089,0.004498021817820774,4.237453753351431,18,6,manual,1,independent,0.4,null,normal
60,corrected,3,-0.03512050729002903,0.03539138200504884,-0.10448761601992476,0.03424660143986669,0.13873421745979145,True,False,0.32102862061737825,0.0011557519175053876,4.237453753351431,18,6,manual,1,independent,0.4,null,normal
70,corrected,3,-0.03081586552891425,0.020823957123912464,-0.07163082149178268,0.00999909043395418,0.08162991192573686,True,False,0.13891927339010213,0.0,4.237453753351431,18,6,manual,1,independent,0.4,null,normal
80,corrected,3,0.00869487311389637,0.051751304847899894,-0.09273768438798742,0.11012743061578016,0.20286511500376758,True,False,0.8665733387556642,0.0032459595737035496,4.237453753351431,18,6,manual,1,independent,0.4,null,normal
90,corrected,3,0.01283368882621895,0.10643056731021915,-0.19577022310181058,0.22143760075424845,0.41720782385605903,True,False,0.9040215450237294,2.19859686012569e-11,4.237453753351431,18,6,manual,1,independent,0.4,null,normal
